Comp_Code,Competition,Comp_Name,Comp_Type,Season
UNL-A,nations-league-a,UNL,UEFA,2024-2025
UNL-B,nations-league-b,UNL,UEFA,2024-2025
UNL-C,nations-league-c,UNL,UEFA,2024-2025
UNL-D,nations-league-d,UNL,UEFA,2024-2025
UCL,champions-league,UCL,UEFA,2024-2025
UCL Qualifiers,champions-league-qual,UCL Qualifiers,UEFA,2024-2025
UEL,europa-league,UEL,UEFA,2024-2025
UEL Qualifiers,europa-league-qual,UEL Qualifiers,UEFA,2024-2025
UECL,conference-league,UECL,UEFA,2024-2025
UECL Qualifiers,conference-league-qual,UECL Qualifiers,UEFA,2024-2025
USC,uefa-super-cup,USC,UEFA,2024
WC QUAL,wm-quali-europa,WC QUAL,UEFA,2025-2026
DFB,dfb-pokal,DFB,GER,2024-2025
DFB,dfb-pokal,DFB,GER,2023-2024
DFB,dfb-pokal,DFB,GER,2022-2023
DFB,dfb-pokal,DFB,GER,2021-2022
