Comp_Code,Competition,Comp_Name,Comp_Type,Season,Gender
UNL-A,nations-league-a,UNL-A,UEFA,2024-2025,Men
UNL-B,nations-league-b,UNL-B,UEFA,2024-2025,Men
UNL-C,nations-league-c,UNL-C,UEFA,2024-2025,Men
UNL-D,nations-league-d,UNL-D,UEFA,2024-2025,Men
UCL,champions-league,UCL,UEFA,2024-2025,Men
UCL Qualifiers,champions-league-qual,UCL Qualifiers,UEFA,2024-2025,Men
UEL,europa-league,UEL,UEFA,2024-2025,Men
UEL Qualifiers,europa-league-qual,UEL Qualifiers,UEFA,2024-2025,Men
UECL,conference-league,UECL,UEFA,2024-2025,Men
UECL Qualifiers,conference-league-qual,UECL Qualifiers,UEFA,2024-2025,Men
USC,uefa-super-cup,USC,UEFA,2024,Men
WC QUAL,wm-quali-europa,WC QUAL,UEFA,2025-2026,Men
EURO Women,frauen-em,EURO Women,UEFA,2025-schweiz,Women
EURO U21,u21-h-em,EURO U21,UEFA,2025-slowakei,Men
